record_id,subset,label,duration_s,n_segments,cache_path,fold
a0069,training-a,normal,30.999,11,cache/cinc2016/a0069.npz,3
a0070,training-a,normal,30.79,11,cache/cinc2016/a0070.npz,0
a0071,training-a,normal,29.6295,10,cache/cinc2016/a0071.npz,2
a0072,training-a,abnormal,36.293,13,cache/cinc2016/a0072.npz,3
a0073,training-a,abnormal,35.666,13,cache/cinc2016/a0073.npz,3
a0074,training-a,abnormal,35.5965,13,cache/cinc2016/a0074.npz,0
a0075,training-a,abnormal,35.736,13,cache/cinc2016/a0075.npz,4
a0076,training-a,abnormal,35.666,13,cache/cinc2016/a0076.npz,0
a0077,training-a,abnormal,35.736,13,cache/cinc2016/a0077.npz,4
a0078,training-a,abnormal,35.736,13,cache/cinc2016/a0078.npz,2
a0079,training-a,abnormal,30.6505,11,cache/cinc2016/a0079.npz,2
a0080,training-a,normal,30.999,11,cache/cinc2016/a0080.npz,0
a0081,training-a,normal,35.666,13,cache/cinc2016/a0081.npz,0
a0082,training-a,abnormal,30.6505,11,cache/cinc2016/a0082.npz,4
a0083,training-a,abnormal,35.666,13,cache/cinc2016/a0083.npz,2
a0084,training-a,abnormal,30.79,11,cache/cinc2016/a0084.npz,1
a0085,training-a,normal,30.8595,11,cache/cinc2016/a0085.npz,1
a0086,training-a,normal,36.2235,13,cache/cinc2016/a0086.npz,1
a0087,training-a,abnormal,20.6195,7,cache/cinc2016/a0087.npz,0
a0088,training-a,normal,36.0145,13,cache/cinc2016/a0088.npz,3
a0089,training-a,abnormal,20.968,7,cache/cinc2016/a0089.npz,0
a0090,training-a,abnormal,20.4105,7,cache/cinc2016/a0090.npz,1
a0091,training-a,normal,30.6505,11,cache/cinc2016/a0091.npz,4
a0092,training-a,abnormal,35.875,13,cache/cinc2016/a0092.npz,1
a0093,training-a,normal,30.72,11,cache/cinc2016/a0093.npz,1
a0094,training-a,normal,35.666,13,cache/cinc2016/a0094.npz,2
a0095,training-a,abnormal,35.5965,13,cache/cinc2016/a0095.npz,4
a0096,training-a,abnormal,35.666,13,cache/cinc2016/a0096.npz,2
a0097,training-a,abnormal,35.666,13,cache/cinc2016/a0097.npz,2
a0098,training-a,abnormal,28.5425,10,cache/cinc2016/a0098.npz,0
a0099,training-a,abnormal,35.666,13,cache/cinc2016/a0099.npz,1
a0100,training-a,abnormal,20.6195,7,cache/cinc2016/a0100.npz,0
a0101,training-a,abnormal,35.8055,13,cache/cinc2016/a0101.npz,0
a0102,training-a,normal,35.5965,13,cache/cinc2016/a0102.npz,0
a0103,training-a,abnormal,20.898,7,cache/cinc2016/a0103.npz,2
a0104,training-a,abnormal,20.6195,7,cache/cinc2016/a0104.npz,4
a0105,training-a,normal,35.2425,13,cache/cinc2016/a0105.npz,3
a0106,training-a,normal,35.666,13,cache/cinc2016/a0106.npz,2
a0107,training-a,abnormal,36.293,13,cache/cinc2016/a0107.npz,0
a0108,training-a,normal,32.4845,11,cache/cinc2016/a0108.npz,1
a0109,training-a,normal,30.6505,11,cache/cinc2016/a0109.npz,3
a0110,training-a,abnormal,35.5965,13,cache/cinc2016/a0110.npz,0
a0111,training-a,abnormal,35.666,13,cache/cinc2016/a0111.npz,2
a0112,training-a,abnormal,36.1535,13,cache/cinc2016/a0112.npz,1
a0113,training-a,abnormal,36.1535,13,cache/cinc2016/a0113.npz,4
a0114,training-a,abnormal,35.736,13,cache/cinc2016/a0114.npz,2
a0115,training-a,abnormal,36.0145,13,cache/cinc2016/a0115.npz,3
a0116,training-a,abnormal,20.689,7,cache/cinc2016/a0116.npz,2
a0117,training-a,abnormal,35.109,13,cache/cinc2016/a0117.npz,2
a0118,training-a,normal,30.8595,11,cache/cinc2016/a0118.npz,0
a0119,training-a,abnormal,35.736,13,cache/cinc2016/a0119.npz,0
a0120,training-a,abnormal,36.084,13,cache/cinc2016/a0120.npz,3
a0121,training-a,abnormal,35.666,13,cache/cinc2016/a0121.npz,0
a0122,training-a,abnormal,35.666,13,cache/cinc2016/a0122.npz,1
a0123,training-a,abnormal,20.6195,7,cache/cinc2016/a0123.npz,2
a0124,training-a,abnormal,35.875,13,cache/cinc2016/a0124.npz,0
a0125,training-a,normal,35.666,13,cache/cinc2016/a0125.npz,3
a0126,training-a,abnormal,35.666,13,cache/cinc2016/a0126.npz,4
a0127,training-a,normal,35.5965,13,cache/cinc2016/a0127.npz,1
a0128,training-a,abnormal,35.666,13,cache/cinc2016/a0128.npz,2
a0129,training-a,normal,36.293,13,cache/cinc2016/a0129.npz,1
a0130,training-a,abnormal,35.5965,13,cache/cinc2016/a0130.npz,0
a0131,training-a,abnormal,19.4555,6,cache/cinc2016/a0131.npz,1
a0132,training-a,abnormal,30.6215,11,cache/cinc2016/a0132.npz,4
a0133,training-a,abnormal,36.1535,13,cache/cinc2016/a0133.npz,4
a0134,training-a,abnormal,35.9445,13,cache/cinc2016/a0134.npz,3
a0135,training-a,abnormal,35.5965,13,cache/cinc2016/a0135.npz,0
a0136,training-a,normal,30.79,11,cache/cinc2016/a0136.npz,0
a0137,training-a,abnormal,35.8055,13,cache/cinc2016/a0137.npz,2
a0138,training-a,abnormal,21.0375,7,cache/cinc2016/a0138.npz,4
a0139,training-a,normal,31.138,11,cache/cinc2016/a0139.npz,3
a0140,training-a,normal,35.666,13,cache/cinc2016/a0140.npz,2
a0141,training-a,normal,30.8595,11,cache/cinc2016/a0141.npz,3
a0142,training-a,abnormal,35.666,13,cache/cinc2016/a0142.npz,1
a0143,training-a,abnormal,35.666,13,cache/cinc2016/a0143.npz,0
a0144,training-a,abnormal,36.293,13,cache/cinc2016/a0144.npz,2
a0145,training-a,abnormal,36.293,13,cache/cinc2016/a0145.npz,3
a0146,training-a,abnormal,30.6505,11,cache/cinc2016/a0146.npz,2
a0147,training-a,abnormal,35.666,13,cache/cinc2016/a0147.npz,4
a0148,training-a,abnormal,36.084,13,cache/cinc2016/a0148.npz,2
a0149,training-a,abnormal,35.8055,13,cache/cinc2016/a0149.npz,1
a0150,training-a,abnormal,36.0145,13,cache/cinc2016/a0150.npz,0
a0151,training-a,abnormal,35.5965,13,cache/cinc2016/a0151.npz,4
a0152,training-a,abnormal,35.5965,13,cache/cinc2016/a0152.npz,0
a0153,training-a,normal,30.6505,11,cache/cinc2016/a0153.npz,4
a0154,training-a,normal,30.8595,11,cache/cinc2016/a0154.npz,0
a0155,training-a,normal,35.736,13,cache/cinc2016/a0155.npz,0
a0156,training-a,abnormal,20.759,7,cache/cinc2016/a0156.npz,1
a0157,training-a,abnormal,35.9445,13,cache/cinc2016/a0157.npz,0
a0158,training-a,abnormal,20.8285,7,cache/cinc2016/a0158.npz,2
a0159,training-a,abnormal,35.736,13,cache/cinc2016/a0159.npz,2
a0160,training-a,abnormal,35.5965,13,cache/cinc2016/a0160.npz,4
a0161,training-a,normal,35.875,13,cache/cinc2016/a0161.npz,1
a0162,training-a,abnormal,20.6195,7,cache/cinc2016/a0162.npz,0
a0163,training-a,abnormal,30.6505,11,cache/cinc2016/a0163.npz,1
a0164,training-a,abnormal,36.293,13,cache/cinc2016/a0164.npz,1
a0165,training-a,normal,30.8595,11,cache/cinc2016/a0165.npz,4
a0166,training-a,abnormal,35.736,13,cache/cinc2016/a0166.npz,0
a0167,training-a,abnormal,35.5965,13,cache/cinc2016/a0167.npz,4
a0168,training-a,abnormal,35.5965,13,cache/cinc2016/a0168.npz,2
a0169,training-a,abnormal,35.5965,13,cache/cinc2016/a0169.npz,4
a0170,training-a,abnormal,35.5965,13,cache/cinc2016/a0170.npz,1
a0171,training-a,normal,35.5965,13,cache/cinc2016/a0171.npz,3
a0172,training-a,abnormal,35.736,13,cache/cinc2016/a0172.npz,4
a0173,training-a,abnormal,20.689,7,cache/cinc2016/a0173.npz,0
a0174,training-a,abnormal,21.177,7,cache/cinc2016/a0174.npz,1
a0175,training-a,abnormal,30.581,11,cache/cinc2016/a0175.npz,0
a0176,training-a,abnormal,35.666,13,cache/cinc2016/a0176.npz,4
a0177,training-a,abnormal,35.736,13,cache/cinc2016/a0177.npz,4
a0178,training-a,normal,35.666,13,cache/cinc2016/a0178.npz,2
a0179,training-a,normal,30.8595,11,cache/cinc2016/a0179.npz,0
a0180,training-a,abnormal,36.0145,13,cache/cinc2016/a0180.npz,4
a0181,training-a,normal,35.8055,13,cache/cinc2016/a0181.npz,0
a0182,training-a,abnormal,35.8055,13,cache/cinc2016/a0182.npz,3
a0183,training-a,abnormal,35.666,13,cache/cinc2016/a0183.npz,1
a0184,training-a,normal,35.5965,13,cache/cinc2016/a0184.npz,1
a0185,training-a,normal,35.666,13,cache/cinc2016/a0185.npz,3
a0186,training-a,abnormal,35.666,13,cache/cinc2016/a0186.npz,1
a0187,training-a,abnormal,35.736,13,cache/cinc2016/a0187.npz,0
a0188,training-a,abnormal,36.293,13,cache/cinc2016/a0188.npz,3
a0189,training-a,normal,36.0145,13,cache/cinc2016/a0189.npz,3
a0190,training-a,abnormal,35.5965,13,cache/cinc2016/a0190.npz,4
a0191,training-a,abnormal,36.2235,13,cache/cinc2016/a0191.npz,3
a0192,training-a,abnormal,35.875,13,cache/cinc2016/a0192.npz,0
a0193,training-a,normal,30.8595,11,cache/cinc2016/a0193.npz,3
a0194,training-a,abnormal,20.689,7,cache/cinc2016/a0194.npz,1
a0195,training-a,normal,30.8595,11,cache/cinc2016/a0195.npz,3
a0196,training-a,normal,30.72,11,cache/cinc2016/a0196.npz,2
a0197,training-a,abnormal,35.666,13,cache/cinc2016/a0197.npz,3
a0198,training-a,abnormal,35.666,13,cache/cinc2016/a0198.npz,0
a0199,training-a,normal,35.875,13,cache/cinc2016/a0199.npz,0
a0200,training-a,abnormal,36.0145,13,cache/cinc2016/a0200.npz,2
a0201,training-a,abnormal,35.5965,13,cache/cinc2016/a0201.npz,2
a0202,training-a,abnormal,36.1535,13,cache/cinc2016/a0202.npz,1
a0203,training-a,abnormal,35.875,13,cache/cinc2016/a0203.npz,2
a0204,training-a,normal,31.0685,11,cache/cinc2016/a0204.npz,3
a0205,training-a,abnormal,20.6195,7,cache/cinc2016/a0205.npz,3
a0206,training-a,abnormal,35.5965,13,cache/cinc2016/a0206.npz,3
a0207,training-a,abnormal,35.736,13,cache/cinc2016/a0207.npz,4
a0208,training-a,normal,33.2305,12,cache/cinc2016/a0208.npz,4
a0209,training-a,abnormal,35.5965,13,cache/cinc2016/a0209.npz,1
a0210,training-a,normal,30.79,11,cache/cinc2016/a0210.npz,4
a0211,training-a,normal,30.6505,11,cache/cinc2016/a0211.npz,0
a0212,training-a,normal,35.666,13,cache/cinc2016/a0212.npz,2
a0213,training-a,abnormal,36.084,13,cache/cinc2016/a0213.npz,3
a0214,training-a,abnormal,35.5965,13,cache/cinc2016/a0214.npz,2
a0215,training-a,abnormal,36.1535,13,cache/cinc2016/a0215.npz,2
a0216,training-a,abnormal,35.5965,13,cache/cinc2016/a0216.npz,2
a0217,training-a,abnormal,35.5965,13,cache/cinc2016/a0217.npz,4
a0218,training-a,abnormal,35.666,13,cache/cinc2016/a0218.npz,4
a0219,training-a,abnormal,35.5965,13,cache/cinc2016/a0219.npz,3
a0220,training-a,abnormal,35.109,13,cache/cinc2016/a0220.npz,3
a0221,training-a,abnormal,35.5965,13,cache/cinc2016/a0221.npz,2
a0222,training-a,abnormal,30.8595,11,cache/cinc2016/a0222.npz,1
a0223,training-a,abnormal,20.689,7,cache/cinc2016/a0223.npz,2
a0224,training-a,abnormal,36.2235,13,cache/cinc2016/a0224.npz,0
a0225,training-a,abnormal,35.5965,13,cache/cinc2016/a0225.npz,0
a0226,training-a,abnormal,31.044,11,cache/cinc2016/a0226.npz,4
a0227,training-a,normal,30.6505,11,cache/cinc2016/a0227.npz,1
a0228,training-a,abnormal,27.1675,9,cache/cinc2016/a0228.npz,1
a0229,training-a,normal,30.79,11,cache/cinc2016/a0229.npz,1
a0230,training-a,abnormal,36.2235,13,cache/cinc2016/a0230.npz,4
a0231,training-a,normal,30.8595,11,cache/cinc2016/a0231.npz,0
a0232,training-a,abnormal,36.2235,13,cache/cinc2016/a0232.npz,4
a0233,training-a,abnormal,35.666,13,cache/cinc2016/a0233.npz,0
a0234,training-a,abnormal,35.666,13,cache/cinc2016/a0234.npz,0
a0235,training-a,normal,30.581,11,cache/cinc2016/a0235.npz,2
a0236,training-a,abnormal,36.0145,13,cache/cinc2016/a0236.npz,3
a0237,training-a,abnormal,35.5965,13,cache/cinc2016/a0237.npz,2
a0238,training-a,normal,9.265,2,cache/cinc2016/a0238.npz,1
a0239,training-a,abnormal,20.898,7,cache/cinc2016/a0239.npz,3
a0240,training-a,abnormal,35.666,13,cache/cinc2016/a0240.npz,3
a0241,training-a,normal,35.5965,13,cache/cinc2016/a0241.npz,1
a0242,training-a,abnormal,35.5965,13,cache/cinc2016/a0242.npz,3
a0243,training-a,normal,36.2235,13,cache/cinc2016/a0243.npz,1
a0244,training-a,abnormal,35.5965,13,cache/cinc2016/a0244.npz,4
a0245,training-a,abnormal,35.736,13,cache/cinc2016/a0245.npz,1
a0246,training-a,abnormal,35.666,13,cache/cinc2016/a0246.npz,3
a0247,training-a,abnormal,35.666,13,cache/cinc2016/a0247.npz,0
a0248,training-a,abnormal,30.5315,11,cache/cinc2016/a0248.npz,0
a0249,training-a,abnormal,35.666,13,cache/cinc2016/a0249.npz,0
a0250,training-a,normal,30.999,11,cache/cinc2016/a0250.npz,4
a0251,training-a,abnormal,20.6195,7,cache/cinc2016/a0251.npz,1
a0252,training-a,abnormal,21.0375,7,cache/cinc2016/a0252.npz,4
a0253,training-a,normal,35.8055,13,cache/cinc2016/a0253.npz,1
a0254,training-a,abnormal,31.3255,11,cache/cinc2016/a0254.npz,4
a0255,training-a,abnormal,35.8055,13,cache/cinc2016/a0255.npz,0
a0256,training-a,abnormal,20.8285,7,cache/cinc2016/a0256.npz,0
a0257,training-a,abnormal,35.8055,13,cache/cinc2016/a0257.npz,3
a0258,training-a,abnormal,35.736,13,cache/cinc2016/a0258.npz,4
a0259,training-a,abnormal,35.9445,13,cache/cinc2016/a0259.npz,1
a0260,training-a,abnormal,35.736,13,cache/cinc2016/a0260.npz,2
a0261,training-a,abnormal,35.5965,13,cache/cinc2016/a0261.npz,1
a0262,training-a,abnormal,35.666,13,cache/cinc2016/a0262.npz,3
a0263,training-a,abnormal,30.79,11,cache/cinc2016/a0263.npz,2
a0264,training-a,normal,30.79,11,cache/cinc2016/a0264.npz,0
a0265,training-a,abnormal,20.968,7,cache/cinc2016/a0265.npz,1
a0266,training-a,normal,35.5965,13,cache/cinc2016/a0266.npz,3
a0267,training-a,abnormal,20.689,7,cache/cinc2016/a0267.npz,3
a0268,training-a,abnormal,30.8595,11,cache/cinc2016/a0268.npz,3
a0269,training-a,abnormal,35.5965,13,cache/cinc2016/a0269.npz,0
a0270,training-a,normal,30.79,11,cache/cinc2016/a0270.npz,4
a0271,training-a,normal,30.8595,11,cache/cinc2016/a0271.npz,2
a0272,training-a,abnormal,35.875,13,cache/cinc2016/a0272.npz,3
a0273,training-a,abnormal,35.8055,13,cache/cinc2016/a0273.npz,4
a0274,training-a,normal,36.2235,13,cache/cinc2016/a0274.npz,4
a0275,training-a,abnormal,30.8595,11,cache/cinc2016/a0275.npz,3
a0276,training-a,abnormal,35.8055,13,cache/cinc2016/a0276.npz,0
a0277,training-a,abnormal,31.138,11,cache/cinc2016/a0277.npz,0
a0278,training-a,abnormal,35.5965,13,cache/cinc2016/a0278.npz,1
a0279,training-a,abnormal,35.5965,13,cache/cinc2016/a0279.npz,2
a0280,training-a,abnormal,35.736,13,cache/cinc2016/a0280.npz,1
a0281,training-a,abnormal,28.574,10,cache/cinc2016/a0281.npz,4
a0282,training-a,abnormal,35.736,13,cache/cinc2016/a0282.npz,1
a0283,training-a,normal,30.79,11,cache/cinc2016/a0283.npz,1
a0284,training-a,abnormal,35.666,13,cache/cinc2016/a0284.npz,3
a0285,training-a,normal,35.666,13,cache/cinc2016/a0285.npz,0
a0286,training-a,abnormal,35.666,13,cache/cinc2016/a0286.npz,4
a0287,training-a,normal,30.8595,11,cache/cinc2016/a0287.npz,3
a0288,training-a,abnormal,35.5965,13,cache/cinc2016/a0288.npz,1
a0289,training-a,normal,30.8595,11,cache/cinc2016/a0289.npz,0
a0290,training-a,normal,31.138,11,cache/cinc2016/a0290.npz,2
a0291,training-a,abnormal,35.666,13,cache/cinc2016/a0291.npz,2
a0292,training-a,abnormal,36.2235,13,cache/cinc2016/a0292.npz,0
a0293,training-a,normal,30.72,11,cache/cinc2016/a0293.npz,4
a0294,training-a,normal,35.875,13,cache/cinc2016/a0294.npz,1
a0295,training-a,abnormal,35.8055,13,cache/cinc2016/a0295.npz,4
a0296,training-a,abnormal,12.9775,4,cache/cinc2016/a0296.npz,1
a0297,training-a,abnormal,35.666,13,cache/cinc2016/a0297.npz,0
a0298,training-a,normal,30.999,11,cache/cinc2016/a0298.npz,1
a0299,training-a,normal,30.8595,11,cache/cinc2016/a0299.npz,0
a0300,training-a,abnormal,30.72,11,cache/cinc2016/a0300.npz,0
a0301,training-a,normal,30.79,11,cache/cinc2016/a0301.npz,3
a0302,training-a,normal,36.0145,13,cache/cinc2016/a0302.npz,4
a0303,training-a,abnormal,35.8055,13,cache/cinc2016/a0303.npz,2
a0304,training-a,normal,35.666,13,cache/cinc2016/a0304.npz,1
a0305,training-a,abnormal,35.736,13,cache/cinc2016/a0305.npz,2
a0306,training-a,abnormal,30.6505,11,cache/cinc2016/a0306.npz,4
a0307,training-a,abnormal,34.165,12,cache/cinc2016/a0307.npz,2
a0308,training-a,abnormal,32.942,12,cache/cinc2016/a0308.npz,0
a0309,training-a,normal,30.8595,11,cache/cinc2016/a0309.npz,4
a0310,training-a,normal,30.8595,11,cache/cinc2016/a0310.npz,4
a0311,training-a,normal,30.8595,11,cache/cinc2016/a0311.npz,0
a0312,training-a,abnormal,35.666,13,cache/cinc2016/a0312.npz,2
a0313,training-a,abnormal,35.5965,13,cache/cinc2016/a0313.npz,1
a0314,training-a,abnormal,20.6195,7,cache/cinc2016/a0314.npz,3
a0315,training-a,abnormal,20.6195,7,cache/cinc2016/a0315.npz,1
a0316,training-a,abnormal,20.6195,7,cache/cinc2016/a0316.npz,1
a0317,training-a,abnormal,35.736,13,cache/cinc2016/a0317.npz,1
a0318,training-a,abnormal,21.804,7,cache/cinc2016/a0318.npz,2
a0319,training-a,abnormal,36.0145,13,cache/cinc2016/a0319.npz,0
a0320,training-a,abnormal,35.8055,13,cache/cinc2016/a0320.npz,2
a0321,training-a,abnormal,30.6505,11,cache/cinc2016/a0321.npz,4
a0322,training-a,abnormal,30.8595,11,cache/cinc2016/a0322.npz,2
a0323,training-a,normal,20.6195,7,cache/cinc2016/a0323.npz,0
a0324,training-a,abnormal,36.502,13,cache/cinc2016/a0324.npz,4
a0325,training-a,normal,36.1535,13,cache/cinc2016/a0325.npz,0
a0326,training-a,abnormal,35.736,13,cache/cinc2016/a0326.npz,0
a0327,training-a,abnormal,35.666,13,cache/cinc2016/a0327.npz,1
a0328,training-a,normal,30.72,11,cache/cinc2016/a0328.npz,0
a0329,training-a,normal,36.1535,13,cache/cinc2016/a0329.npz,2
a0330,training-a,normal,35.666,13,cache/cinc2016/a0330.npz,3
a0331,training-a,abnormal,28.561,10,cache/cinc2016/a0331.npz,4
a0332,training-a,normal,36.084,13,cache/cinc2016/a0332.npz,2
a0333,training-a,abnormal,35.736,13,cache/cinc2016/a0333.npz,1
a0334,training-a,normal,35.666,13,cache/cinc2016/a0334.npz,0
a0335,training-a,abnormal,36.293,13,cache/cinc2016/a0335.npz,1
a0336,training-a,abnormal,12.7945,4,cache/cinc2016/a0336.npz,2
a0337,training-a,normal,30.8595,11,cache/cinc2016/a0337.npz,1
a0338,training-a,abnormal,35.875,13,cache/cinc2016/a0338.npz,1
a0339,training-a,abnormal,35.666,13,cache/cinc2016/a0339.npz,0
a0340,training-a,normal,35.5965,13,cache/cinc2016/a0340.npz,2
a0341,training-a,abnormal,33.3585,12,cache/cinc2016/a0341.npz,4
a0342,training-a,normal,31.138,11,cache/cinc2016/a0342.npz,2
a0343,training-a,abnormal,36.293,13,cache/cinc2016/a0343.npz,0
a0344,training-a,abnormal,35.5965,13,cache/cinc2016/a0344.npz,3
a0345,training-a,abnormal,35.5965,13,cache/cinc2016/a0345.npz,0
a0346,training-a,abnormal,35.5965,13,cache/cinc2016/a0346.npz,2
a0347,training-a,abnormal,20.689,7,cache/cinc2016/a0347.npz,2
a0348,training-a,abnormal,36.1535,13,cache/cinc2016/a0348.npz,3
a0349,training-a,abnormal,35.5965,13,cache/cinc2016/a0349.npz,1
a0350,training-a,abnormal,32.0785,11,cache/cinc2016/a0350.npz,0
a0351,training-a,normal,35.666,13,cache/cinc2016/a0351.npz,0
a0352,training-a,normal,36.293,13,cache/cinc2016/a0352.npz,2
a0353,training-a,normal,30.6505,11,cache/cinc2016/a0353.npz,0
a0354,training-a,abnormal,35.666,13,cache/cinc2016/a0354.npz,2
a0355,training-a,normal,36.2235,13,cache/cinc2016/a0355.npz,3
a0356,training-a,abnormal,35.666,13,cache/cinc2016/a0356.npz,4
a0357,training-a,abnormal,30.8595,11,cache/cinc2016/a0357.npz,1
a0358,training-a,abnormal,20.6195,7,cache/cinc2016/a0358.npz,1
a0359,training-a,normal,30.6505,11,cache/cinc2016/a0359.npz,1
a0360,training-a,abnormal,20.6195,7,cache/cinc2016/a0360.npz,0
a0361,training-a,normal,30.999,11,cache/cinc2016/a0361.npz,2
a0362,training-a,abnormal,35.875,13,cache/cinc2016/a0362.npz,4
a0363,training-a,abnormal,35.5965,13,cache/cinc2016/a0363.npz,0
a0364,training-a,abnormal,35.9445,13,cache/cinc2016/a0364.npz,3
a0365,training-a,abnormal,30.6505,11,cache/cinc2016/a0365.npz,4
a0366,training-a,abnormal,35.666,13,cache/cinc2016/a0366.npz,1
a0367,training-a,abnormal,35.5965,13,cache/cinc2016/a0367.npz,0
a0368,training-a,abnormal,30.72,11,cache/cinc2016/a0368.npz,4
a0369,training-a,abnormal,20.8285,7,cache/cinc2016/a0369.npz,1
a0370,training-a,abnormal,35.666,13,cache/cinc2016/a0370.npz,3
a0371,training-a,abnormal,20.968,7,cache/cinc2016/a0371.npz,2
a0372,training-a,abnormal,35.666,13,cache/cinc2016/a0372.npz,0
a0373,training-a,abnormal,30.6505,11,cache/cinc2016/a0373.npz,1
a0374,training-a,abnormal,35.8055,13,cache/cinc2016/a0374.npz,2
a0375,training-a,abnormal,30.8595,11,cache/cinc2016/a0375.npz,2
a0376,training-a,abnormal,35.8055,13,cache/cinc2016/a0376.npz,4
a0377,training-a,abnormal,36.293,13,cache/cinc2016/a0377.npz,1
